Lead ID,Location,College/University,Year of Study,Program Interest,Lead Source
LD7094,Mumbai,Mithibai College,2nd,Business Administration,College Collaboration
LD7095,Mumbai,University of Mumbai,4th,Artificial Intelligence,Instagram
LD7096,Bengaluru,Bangalore Institute of Technology,3rd,Environmental Science,LinkedIn
LD7097,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,College Collaboration
LD7098,Chennai,Vellore Institute of Technology (VIT),3rd,Artificial Intelligence,Google Form
LD7099,Hyderabad,Jawaharlal Nehru Technological University (JNTU),3rd,Data Science,College Collaboration
LD7100,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Cybersecurity,Google Form
LD7101,Ahmedabad,Gujarat University,3rd,Environmental Science,LinkedIn
LD7102,Delhi,Delhi Technological University (DTU),3rd,Robotics,College Collaboration
LD7103,Ahmedabad,Gujarat University,3rd,Cybersecurity,College Collaboration
LD7104,Delhi,Jawaharlal Nehru University (JNU),3rd,Artificial Intelligence,LinkedIn
LD7105,Indore,Indian Institute of Management Indore (IIM-I),2nd,Biotechnology,College Collaboration
LD7106,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Business Administration,LinkedIn
LD7107,Chennai,Madras Christian College,2nd,Artificial Intelligence,LinkedIn
LD7108,Delhi,Jawaharlal Nehru University (JNU),2nd,Robotics,LinkedIn
LD7109,Chennai,Anna University,2nd,Electric Vehicles,Google Form
LD7110,Pune,Symbiosis International University,4th,Business Administration,Mass-Mailing
LD7111,Chennai,SRM Institute of Science and Technology,4th,Data Science,LinkedIn
LD7112,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Data Science,College Collaboration
LD7113,Bengaluru,RV College of Engineering,2nd,Biotechnology,College Collaboration
LD7114,Kolkata,Presidency University,4th,Cybersecurity,LinkedIn
LD7115,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Environmental Science,College Collaboration
LD7116,Hyderabad,Osmania University,2nd,Environmental Science,Instagram
LD7117,Ahmedabad,Gujarat University,2nd,Artificial Intelligence,LinkedIn
LD7118,Mumbai,Tata Institute of Social Sciences (TISS),4th,Data Science,Google Form
LD7119,Pune,MIT World Peace University,2nd,Biotechnology,LinkedIn
LD7120,Bengaluru,Indian Institute of Science (IISc),3rd,Cybersecurity,Instagram
LD7121,Chennai,Vellore Institute of Technology (VIT),1st,Business Administration,College Collaboration
LD7122,Delhi,Indian Institute of Technology Delhi (IIT-D),4th,Robotics,Mass-Mailing
LD7123,Bengaluru,Christ University,1st,Artificial Intelligence,College Collaboration
LD7124,Hyderabad,University of Hyderabad,3rd,Biotechnology,Mass-Mailing
LD7125,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Data Science,Whatsapp
LD7126,Mumbai,Mithibai College,2nd,Artificial Intelligence,College Collaboration
LD7127,Bengaluru,RV College of Engineering,2nd,Business Administration,LinkedIn
LD7128,Ahmedabad,Nirma University,2nd,Cybersecurity,LinkedIn
LD7129,Kolkata,Presidency University,2nd,Environmental Science,Google Form
LD7130,Delhi,Jamia Millia Islamia,2nd,Cybersecurity,LinkedIn
LD7131,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Environmental Science,Whatsapp
LD7132,Pune,University of Pune (Savitribai Phule Pune University),3rd,Business Administration,Whatsapp
LD7133,Bengaluru,Christ University,2nd,Electric Vehicles,LinkedIn
LD7134,Ahmedabad,Nirma University,3rd,Business Administration,College Collaboration
LD7135,Delhi,University of Delhi,2nd,Robotics,Whatsapp
LD7136,Hyderabad,Jawaharlal Nehru Technological University (JNTU),1st,Cybersecurity,Mass-Mailing
LD7137,Bengaluru,Christ University,2nd,Data Science,Instagram
LD7138,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Artificial Intelligence,College Collaboration
LD7139,Kolkata,Indian Statistical Institute,4th,Biotechnology,Mass-Mailing
LD7140,Kolkata,Presidency University,3rd,Cybersecurity,College Collaboration
LD7141,Kolkata,Presidency University,3rd,Environmental Science,LinkedIn
LD7142,Hyderabad,Indian School of Business (ISB),3rd,Business Administration,LinkedIn
LD7143,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Data Science,Mass-Mailing
LD7144,Pune,Bharati Vidyapeeth Deemed University,1st,Environmental Science,Google Form
LD7145,Hyderabad,Indian School of Business (ISB),2nd,Environmental Science,Whatsapp
LD7146,Ahmedabad,Gujarat University,3rd,Biotechnology,Google Form
LD7147,Kolkata,Presidency University,1st,Biotechnology,LinkedIn
LD7148,Kolkata,Jadavpur University,2nd,Artificial Intelligence,Google Form
LD7149,Delhi,Jamia Millia Islamia,3rd,Robotics,Mass-Mailing
LD7150,Mumbai,K. J. Somaiya College of Engineering,2nd,Artificial Intelligence,Google Form
LD7151,Delhi,Lady Shri Ram College for Women,1st,Business Administration,College Collaboration
LD7152,Mumbai,K. J. Somaiya College of Engineering,2nd,Artificial Intelligence,College Collaboration
LD7153,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Artificial Intelligence,College Collaboration
LD7154,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Electric Vehicles,Google Form
LD7155,Chennai,Indian Institute of Technology Madras (IIT-M),1st,Environmental Science,Instagram
LD7156,Ahmedabad,Gujarat University,4th,Environmental Science,College Collaboration
LD7157,Pune,University of Pune (Savitribai Phule Pune University),2nd,Data Science,College Collaboration
LD7158,Hyderabad,Osmania University,3rd,Biotechnology,Instagram
LD7159,Ahmedabad,Gujarat University,4th,Artificial Intelligence,College Collaboration
LD7160,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Robotics,College Collaboration
LD7161,Kolkata,Presidency University,1st,Environmental Science,LinkedIn
LD7162,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,LinkedIn
LD7163,Ahmedabad,Nirma University,2nd,Electric Vehicles,LinkedIn
LD7164,Delhi,University of Delhi,2nd,Biotechnology,Mass-Mailing
LD7165,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Business Administration,College Collaboration
LD7166,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Data Science,Google Form
LD7167,Hyderabad,Jawaharlal Nehru Technological University (JNTU),1st,Environmental Science,Instagram
LD7168,Hyderabad,International Institute of Information Technology (IIIT-H),3rd,Artificial Intelligence,LinkedIn
LD7169,Chennai,SRM Institute of Science and Technology,4th,Cybersecurity,College Collaboration
LD7170,Hyderabad,Osmania University,4th,Data Science,LinkedIn
LD7171,Chennai,Anna University,2nd,Environmental Science,College Collaboration
LD7172,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Environmental Science,College Collaboration
LD7173,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Environmental Science,Google Form
LD7174,Pune,University of Pune (Savitribai Phule Pune University),2nd,Data Science,Google Form
LD7175,Bengaluru,RV College of Engineering,2nd,Electric Vehicles,Mass-Mailing
LD7176,Ahmedabad,Nirma University,4th,Cybersecurity,LinkedIn
LD7177,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Robotics,LinkedIn
LD7178,Chennai,SRM Institute of Science and Technology,1st,Robotics,College Collaboration
LD7179,Ahmedabad,Gujarat University,3rd,Data Science,College Collaboration
LD7180,Chennai,Loyola College,1st,Environmental Science,College Collaboration
LD7181,Ahmedabad,Nirma University,4th,Artificial Intelligence,College Collaboration
LD7182,Chennai,Vellore Institute of Technology (VIT),4th,Electric Vehicles,LinkedIn
LD7183,Mumbai,St. Xavier's College,4th,Biotechnology,College Collaboration
LD7184,Mumbai,St. Xavier's College,2nd,Electric Vehicles,LinkedIn
LD7185,Mumbai,St. Xavier's College,3rd,Data Science,College Collaboration
LD7186,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Cybersecurity,Mass-Mailing
LD7187,Kolkata,Jadavpur University,3rd,Data Science,LinkedIn
LD7188,Bengaluru,RV College of Engineering,2nd,Robotics,College Collaboration
LD7189,Bengaluru,Indian Institute of Management Bangalore (IIM-B),2nd,Cybersecurity,College Collaboration
LD7190,Indore,Devi Ahilya Vishwavidyalaya,1st,Business Administration,Mass-Mailing
LD7191,Bengaluru,PES University,3rd,Electric Vehicles,Instagram
LD7192,Pune,Bharati Vidyapeeth Deemed University,4th,Business Administration,Instagram
LD7193,Ahmedabad,Nirma University,2nd,Biotechnology,Google Form
LD7194,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Cybersecurity,College Collaboration
LD7195,Bengaluru,Christ University,3rd,Electric Vehicles,Instagram
LD7196,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Biotechnology,Instagram
LD7197,Mumbai,University of Mumbai,3rd,Environmental Science,College Collaboration
LD7198,Pune,Bharati Vidyapeeth Deemed University,3rd,Cybersecurity,Instagram
LD7199,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),3rd,Robotics,LinkedIn
LD7200,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),4th,Electric Vehicles,Mass-Mailing
LD7201,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Cybersecurity,College Collaboration
LD7202,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Robotics,Instagram
LD7203,Bengaluru,National Institute of Fashion Technology (NIFT),3rd,Environmental Science,LinkedIn
LD7204,Bengaluru,PES University,3rd,Business Administration,Instagram
LD7205,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Biotechnology,Instagram
LD7206,Indore,Indian Institute of Management Indore (IIM-I),2nd,Biotechnology,LinkedIn
LD7207,Indore,Indian Institute of Management Indore (IIM-I),2nd,Business Administration,Mass-Mailing
LD7208,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Business Administration,LinkedIn
LD7209,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Electric Vehicles,Whatsapp
LD7210,Ahmedabad,Nirma University,2nd,Environmental Science,LinkedIn
LD7211,Indore,Indian Institute of Management Indore (IIM-I),2nd,Robotics,LinkedIn
LD7212,Bengaluru,PES University,4th,Artificial Intelligence,Whatsapp
LD7213,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,Whatsapp
LD7214,Indore,Devi Ahilya Vishwavidyalaya,2nd,Environmental Science,Instagram
LD7215,Delhi,Jawaharlal Nehru University (JNU),3rd,Cybersecurity,LinkedIn
LD7216,Bengaluru,National Institute of Fashion Technology (NIFT),2nd,Environmental Science,Instagram
LD7217,Kolkata,Indian Statistical Institute,1st,Environmental Science,LinkedIn
LD7218,Kolkata,Indian Statistical Institute,2nd,Biotechnology,LinkedIn
LD7219,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Data Science,College Collaboration
LD7220,Pune,Symbiosis International University,2nd,Environmental Science,LinkedIn
LD7221,Kolkata,Presidency University,4th,Cybersecurity,LinkedIn
LD7222,Kolkata,Indian Statistical Institute,2nd,Cybersecurity,Mass-Mailing
LD7223,Delhi,Delhi Technological University (DTU),2nd,Business Administration,LinkedIn
LD7224,Chennai,Loyola College,2nd,Biotechnology,Whatsapp
LD7225,Bengaluru,Indian Institute of Science (IISc),2nd,Business Administration,LinkedIn
LD7226,Chennai,Indian Institute of Technology Madras (IIT-M),3rd,Artificial Intelligence,College Collaboration
LD7227,Mumbai,Sardar Patel Institute of Technology,2nd,Biotechnology,Whatsapp
LD7228,Kolkata,Presidency University,4th,Robotics,College Collaboration
LD7229,Bengaluru,RV College of Engineering,4th,Cybersecurity,LinkedIn
LD7230,Ahmedabad,Nirma University,4th,Cybersecurity,LinkedIn
LD7231,Kolkata,Presidency University,4th,Environmental Science,Instagram
LD7232,Indore,Indian Institute of Management Indore (IIM-I),3rd,Business Administration,College Collaboration
LD7233,Bengaluru,PES University,2nd,Biotechnology,LinkedIn
LD7234,Mumbai,Mithibai College,2nd,Data Science,LinkedIn
LD7235,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Environmental Science,LinkedIn
LD7236,Mumbai,Indian Institute of Technology Bombay (IIT-B),2nd,Environmental Science,Google Form
LD7237,Bengaluru,PES University,4th,Environmental Science,Instagram
LD7238,Ahmedabad,Gujarat University,2nd,Environmental Science,Whatsapp
LD7239,Kolkata,Presidency University,3rd,Artificial Intelligence,LinkedIn
LD7240,Hyderabad,University of Hyderabad,2nd,Data Science,College Collaboration
LD7241,Mumbai,St. Xavier's College,2nd,Artificial Intelligence,College Collaboration
LD7242,Chennai,Indian Institute of Technology Madras (IIT-M),2nd,Cybersecurity,Instagram
LD7243,Mumbai,Narsee Monjee Institute of Management Studies (NMIMS),2nd,Biotechnology,Mass-Mailing
LD7244,Delhi,Guru Gobind Singh Indraprastha University,3rd,Robotics,Google Form
LD7245,Chennai,Anna University,2nd,Cybersecurity,LinkedIn
LD7246,Ahmedabad,Nirma University,4th,Data Science,LinkedIn
LD7247,Delhi,Jawaharlal Nehru University (JNU),3rd,Electric Vehicles,College Collaboration
LD7248,Mumbai,St. Xavier's College,2nd,Robotics,LinkedIn
LD7249,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),2nd,Environmental Science,LinkedIn
LD7250,Kolkata,University of Calcutta,1st,Environmental Science,Google Form
LD7251,Mumbai,University of Mumbai,2nd,Business Administration,College Collaboration
LD7252,Pune,MIT World Peace University,1st,Artificial Intelligence,Google Form
LD7253,Ahmedabad,Indian Institute of Management Ahmedabad (IIM-A),4th,Cybersecurity,Google Form
LD7254,Indore,Devi Ahilya Vishwavidyalaya,2nd,Business Administration,LinkedIn
LD7255,Delhi,Lady Shri Ram College for Women,1st,Cybersecurity,LinkedIn
LD7256,Chennai,Vellore Institute of Technology (VIT),3rd,Environmental Science,College Collaboration
LD7257,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Data Science,Instagram
LD7258,Delhi,Indian Institute of Technology Delhi (IIT-D),3rd,Data Science,Whatsapp
LD7259,Pune,Symbiosis International University,2nd,Data Science,College Collaboration
LD7260,Kolkata,Jadavpur University,2nd,Artificial Intelligence,LinkedIn
LD7261,Kolkata,Indian Statistical Institute,4th,Robotics,Instagram
LD7262,Kolkata,Jadavpur University,3rd,Biotechnology,Instagram
LD7263,Jaipur,Rajasthan Technical University,4th,Data Science,Instagram
LD7264,Hyderabad,Indian School of Business (ISB),2nd,Electric Vehicles,LinkedIn
LD7265,Hyderabad,University of Hyderabad,3rd,Environmental Science,LinkedIn
LD7266,Hyderabad,Osmania University,4th,Biotechnology,Google Form
LD7267,Hyderabad,Jawaharlal Nehru Technological University (JNTU),4th,Environmental Science,Instagram
LD7268,Delhi,Jamia Millia Islamia,2nd,Robotics,College Collaboration
LD7269,Hyderabad,Jawaharlal Nehru Technological University (JNTU),2nd,Data Science,LinkedIn
LD7270,Mumbai,Indian Institute of Technology Bombay (IIT-B),4th,Robotics,LinkedIn
LD7271,Mumbai,University of Mumbai,3rd,Cybersecurity,College Collaboration
LD7272,Indore,Devi Ahilya Vishwavidyalaya,3rd,Artificial Intelligence,College Collaboration
LD7273,Hyderabad,International Institute of Information Technology (IIIT-H),1st,Artificial Intelligence,College Collaboration
LD7274,Pune,Symbiosis International University,1st,Artificial Intelligence,College Collaboration
LD7275,Pune,MIT World Peace University,2nd,Business Administration,Instagram
LD7276,Hyderabad,Indian School of Business (ISB),3rd,Environmental Science,LinkedIn
LD7277,Delhi,Jawaharlal Nehru University (JNU),3rd,Data Science,College Collaboration
LD7278,Chennai,Anna University,4th,Business Administration,College Collaboration
LD7279,Indore,Devi Ahilya Vishwavidyalaya,3rd,Data Science,Instagram
LD7280,Mumbai,St. Xavier's College,2nd,Environmental Science,Instagram
LD7281,Ahmedabad,Gujarat University,4th,Cybersecurity,Mass-Mailing
LD7282,Ahmedabad,Nirma University,2nd,Data Science,Instagram
LD7283,Jaipur,Malaviya National Institute of Technology (MNIT),4th,Artificial Intelligence,Instagram
LD7284,Delhi,University of Delhi,2nd,Environmental Science,LinkedIn
LD7285,Ahmedabad,Gujarat University,4th,Robotics,Instagram
LD7286,Ahmedabad,Nirma University,2nd,Business Administration,Instagram
LD7287,Delhi,Lady Shri Ram College for Women,2nd,Environmental Science,Google Form
LD7288,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Artificial Intelligence,LinkedIn
LD7289,Delhi,Delhi Technological University (DTU),2nd,Biotechnology,Mass-Mailing
LD7290,Indore,Indian Institute of Management Indore (IIM-I),4th,Electric Vehicles,LinkedIn
LD7291,Bengaluru,Bangalore Institute of Technology,2nd,Data Science,Whatsapp
LD7292,Mumbai,K. J. Somaiya College of Engineering,4th,Environmental Science,Mass-Mailing
LD7293,Jaipur,Rajasthan Technical University,3rd,Artificial Intelligence,Instagram
LD7294,Delhi,Indian Institute of Technology Delhi (IIT-D),2nd,Environmental Science,Google Form
LD7295,Mumbai,Tata Institute of Social Sciences (TISS),3rd,Data Science,Mass-Mailing
LD7296,Delhi,Indian Institute of Technology Delhi (IIT-D),4th,Robotics,College Collaboration
